it,T,e,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,0.06693729747584572,84,53,49,25,52,84,97,99,76,79,60,64,90,94,95,47,43,41,20,35,33
11,0.06693729747584572,84,53,49,25,52,84,97,99,76,79,60,64,90,94,95,47,43,41,20,35,33
11,0.06693729747584572,84,53,49,25,52,84,97,99,76,79,60,64,90,94,95,47,43,41,20,35,33
11,0.06693729747584572,84,53,49,25,52,84,97,99,76,79,60,64,90,94,95,47,43,41,20,35,33
11,0.06693729747584572,84,53,49,25,52,84,97,99,76,79,60,64,90,94,95,47,43,41,20,35,33
11,0.06693729747584572,84,53,49,25,52,84,97,99,76,79,60,64,90,94,95,47,43,41,20,35,33
11,0.06693729747584572,84,53,49,25,52,84,97,99,76,79,60,64,90,94,95,47,43,41,20,35,33
12,0.05689670285446886,84,53,49,25,52,84,97,99,76,79,60,64,90,94,95,47,43,41,20,35,33
12,0.05689670285446886,84,53,49,25,52,84,97,99,76,79,60,64,90,94,95,47,43,41,20,35,33
12,0.05689670285446886,84,53,49,25,52,84,97,99,76,79,60,64,90,94,95,47,43,41,20,35,33
12,0.05689670285446886,84,53,49,25,52,84,97,99,76,79,60,64,90,94,95,47,43,41,20,35,33
12,0.05689670285446886,84,53,49,25,52,84,97,99,76,79,60,64,90,94,95,47,43,41,20,35,33
12,0.05689670285446886,84,53,49,25,52,84,97,99,76,79,60,64,90,94,95,47,43,41,20,35,33
12,0.05689670285446886,84,53,49,25,52,84,97,99,76,79,60,64,90,94,95,47,43,41,20,35,33
12,0.05689670285446886,84,53,49,25,52,84,97,99,76,79,60,64,90,94,95,47,43,41,20,35,33
12,0.05689670285446886,84,53,49,25,52,84,97,99,76,79,60,64,90,94,95,47,43,41,20,35,33
12,0.05689670285446886,84,53,49,25,52,84,97,99,76,79,60,64,90,94,95,47,43,41,20,35,33
12,0.05689670285446886,84,53,49,25,52,84,97,99,76,79,60,64,90,94,95,47,43,41,20,35,33
12,0.05689670285446886,84,53,49,25,52,84,97,99,76,79,60,64,90,94,95,47,43,41,20,35,33
12,0.05689670285446886,84,53,49,25,52,84,97,99,76,79,60,64,90,94,95,47,43,41,20,35,33
12,0.05689670285446886,84,53,49,25,52,84,97,99,76,79,60,64,90,94,95,47,43,41,20,35,33
12,0.05689670285446886,84,53,49,25,52,84,97,99,76,79,60,64,90,94,95,47,43,41,20,35,33
12,0.05689670285446886,84,53,49,25,52,84,97,99,76,79,60,64,90,94,95,47,43,41,20,35,33
12,0.05689670285446886,84,53,49,25,52,84,97,99,76,79,60,64,90,94,95,47,43,41,20,35,33
12,0.05689670285446886,84,53,49,25,52,84,97,99,76,79,60,64,90,94,95,47,43,41,20,35,33
12,0.05689670285446886,84,53,49,25,52,84,97,99,76,79,60,64,90,94,95,47,43,41,20,35,33
12,0.05689670285446886,84,53,49,25,52,84,97,99,76,79,60,64,90,94,95,47,41,20,43,35,33
12,0.05689670285446886,84,53,49,25,52,84,97,99,76,79,60,64,90,94,95,47,41,20,43,35,33
12,0.05689670285446886,82,25,49,53,52,84,97,99,76,79,60,64,90,94,95,47,41,20,43,35,33
13,0.04836219742629853,82,25,49,53,52,84,97,99,76,79,60,64,90,94,95,47,41,20,43,35,33
13,0.04836219742629853,82,25,49,53,52,84,97,99,76,79,60,64,90,94,95,47,41,20,43,35,33
13,0.04836219742629853,82,25,49,53,52,84,97,99,76,79,60,64,90,94,95,47,41,20,43,35,33
13,0.04836219742629853,82,25,49,53,52,84,97,99,76,79,60,64,90,94,95,47,41,20,43,35,33
13,0.04836219742629853,82,25,49,53,52,84,97,99,76,79,60,64,90,94,95,47,41,20,43,35,33
13,0.04836219742629853,82,25,49,53,52,84,97,99,76,79,60,64,90,94,95,47,41,20,43,35,33
13,0.04836219742629853,82,25,49,53,52,84,97,99,76,79,60,64,90,94,95,47,41,20,43,35,33
13,0.04836219742629853,82,25,49,53,52,84,97,99,76,79,60,64,90,94,95,47,41,20,43,35,33
13,0.04836219742629853,82,25,49,53,52,84,97,99,76,79,60,64,90,94,95,47,41,20,43,35,33
13,0.04836219742629853,82,25,49,53,52,84,97,99,76,79,60,64,90,94,95,47,41,20,43,35,33
13,0.04836219742629853,82,25,49,53,52,84,97,99,76,79,60,64,90,94,95,47,41,20,43,35,33
13,0.04836219742629853,82,25,49,53,52,84,97,99,76,79,60,64,90,94,95,47,41,20,43,35,33
13,0.04836219742629853,82,25,49,53,52,84,97,99,76,79,60,64,90,94,95,47,41,20,43,35,33
13,0.04836219742629853,82,25,49,53,52,84,97,99,76,79,60,64,90,94,95,47,41,20,43,35,33
